Title,Author,Genre,Rating
Rationality,Steven Pinker,Nonfiction,Liked
Time is a Mother,Ocean Vuong,Poetry,DNF
Against Empathy,Paul Bloom,Nonfiction,Liked
Into the Riverlands,Nghi Vo,Fantasy,Loved
The Cosmopolitan Tradition,Martha Nussbaum,Nonfiction,Liked
The Rational Optimist,Matt Ridley,Nonfiction,DNF
A Closed and Common Orbit,Becky Chambers,SciFi,Loved
Fevered Star,Rebecca Roanhorse,Fantasy,Liked
Record of a Spaceborn Few,Becky Chambers,SciFi,Liked
Foundation,Isaac Asimov,SciFi,Disliked
The Obsidian Tower,Melissa Caruso,Fantasy,Liked
Iron & Velvet,Alexis Hall,Fantasy,Disliked
The Galaxy and the Ground Within,Becky Chambers,SciFi,Liked
Some Desperate Glory,Emily Tesh,SciFi,Liked
Ponti,Sharlene Teo,LitFic,Liked
The Traitor Baru Cormorant,Seth Dickinson,Fantasy,Loved
Unconquerable Sun,Kate Elliott,SciFi,DNF
A Psalm for the Wild-Built,Becky Chambers,SciFi,Loved
To Be Taught If Fortunate,Becky Chambers,SciFi,Liked
The Sirens of Mars,Sarah Stewart Johnson,Nonfiction,Loved
The Foxglove King,Hannah Whitten,Fantasy,Liked
Harrow the Ninth,Tamsyn Muir,Fantasy,Liked
Nona the Ninth,Tamsyn Muir,Fantasy,Liked
The Faithless,C.L. Clark,Fantasy,Loved
A Half-Built Garden,Ruthanna Emrys,SciFi,Loved
Saint Death's Daughter,C.S.E. Cooney,Fantasy,Liked
The Archive Undying,Emma Mieko Candon,SciFi,Liked
Biography of X,Catherine Lacey,LitFic,Loved
Nettle & Bone,T. Kingfisher,Fantasy,Disliked
The Daughter of Doctor Moreau,Silvia Moreno-Garcia,Fantasy,Liked
The Eye of the World,Robert Jordan,Fantasy,Liked
Ancillary Justice,Ann Leckie,SciFi,Loved
Witch King,Martha Wells,Fantasy,Disliked
The Adventures of Amina al-Sirafi,Shannon Chakraborty,Fantasy,Loved
Ancillary Sword,Ann Leckie,SciFi,Liked
Provenance,Ann Leckie,SciFi,Liked
These Burning Stars,Bethany Jacobs,SciFi,DNF
Ancillary Mercy,Ann Leckie,SciFi,Loved
Mammoths at the Gates,Nghi Vo,Fantasy,Liked
The Great Hunt,Robert Jordan,Fantasy,Liked
The City of Brass,S.A. Chakraborty,Fantasy,Loved
The Kingdom of Copper,S.A. Chakraborty,Fantasy,Liked
The Blighted Stars,Megan E. O'Keefe,SciFi,Liked
Son of the Storm,Suyi Davies Okungbowa,Fantasy,Liked
The Empire of Gold,S.A. Chakraborty,Fantasy,Loved
Eastbound,Maylis De Kerangal,LitFic,Liked
Translation State,Ann Leckie,SciFi,Loved
Parable of the Talents,Octavia E. Butler,SciFi,Loved
Ink Blood Sister Scribe,Emma Torsz,Fantasy,Liked
Silver Nitrate,Silvia Moreno-Garcia,Fantasy,Loved
The Dragon Reborn,Robert Jordan,Fantasy,Liked
The Fifth Season,N.K. Jemisin,Fantasy,Loved
